pporto,pguima,sporto,spovoa,sbarce,sfama,sbraga,sguima
2585,1954,1362,85,112,464,1686,361
3368,2302,1701,89,118,675,1591,311
3210,3054,1879,109,129,703,2304,204
3111,2414,1658,95,99,887,1712,180
3756,2226,1795,91,116,1139,1471,112
4216,2725,2082,95,168,1077,1377,112
5225,2589,2344,96,118,1318,1966,102
4426,3470,2369,128,129,1260,2453,139
3932,2400,1900,124,205,1120,1984,249
3816,3180,2099,111,147,963,2596,281
3661,4009,2301,178,150,996,4087,367
3795,3924,2316,140,267,960,5179,391
2285,2072,1307,150,126,530,1530,351
2934,2434,1610,132,129,883,1523,301
2985,2956,1782,155,124,894,1633,251
3646,2828,1942,132,97,1045,1976,190
4198,2687,2066,91,102,1199,1170,127
4935,2629,2269,94,127,1287,1480,98
5618,3150,2630,109,222,1565,1781,97
5454,4119,2872,155,214,1577,2472,195
3624,3030,1996,123,118,1076,1981,247
2898,3055,1786,130,141,918,2273,371
3802,3821,2287,150,154,1008,3857,339
2369,4001,1911,163,226,1063,4551,368
2369,2529,1469,101,89,544,1510,339
2511,2472,1495,123,77,635,1329,313
3079,3134,1864,127,82,804,1518,225
3728,2789,1955,112,97,980,1790,120
4151,2758,2073,108,127,1018,1537,145
4326,2993,2196,116,121,1064,1449,73
5054,3282,2501,153,117,1404,1954,154
5138,3437,2572,163,117,1286,1897,199
3310,2804,1834,128,106,1104,1706,187
3508,3076,1975,142,112,999,2514,330
3790,3782,2272,170,134,996,3593,390
3446,3889,2200,214,169,1015,4524,392
2127,2271,1319,134,75,615,1609,384
2523,2452,1492,122,108,722,1638,302
3017,3084,1830,142,115,832,2030,248
3265,2522,1736,156,85,977,1375,228
3822,2769,1977,145,101,1270,1320,108
4027,3438,2240,169,108,1437,1245,91
4420,2839,2178,134,109,1520,1600,119
5255,3746,2700,165,124,1708,2298,161
4009,2632,1992,156,105,1151,2191,293
3074,2851,1778,111,95,934,2511,324
3465,3871,2201,165,135,1159,3440,341
3718,3618,2201,197,164,1209,4923,289
1954,2389,1303,124,88,699,1609,357
2604,2344,1484,124,85,830,1435,365
3626,2678,1891,139,112,996,2061,186
2836,2492,1598,137,87,1124,1789,124
4042,2858,2070,127,91,1458,1567,153
3584,2246,1749,134,87,1270,1404,125
4225,2800,2108,136,87,1753,1597,161
4523,3869,2518,171,142,2258,3159,176
2892,3007,1770,112,95,1208,1759,238
2876,3023,1770,110,108,1241,2504,230
3420,3907,2198,147,139,1265,4273,382
3159,4209,2210,196,159,1828,5274,346
2101,2353,1336,112,61,809,1771,326
2181,2570,1425,118,82,997,1682,354
2724,2903,1688,125,124,1164,1846,231
2954,2910,1759,122,93,1205,1589,208
4092,3782,2362,120,108,1538,1896,140
3470,2759,1869,118,75,1513,1379,112
3990,2931,2076,281,87,1378,1645,108
4239,3641,2364,344,103,2083,2512,168
2855,2794,1695,366,90,1357,1771,206
2897,3070,1790,362,108,1536,3727,336
3433,3576,2103,580,123,1526,4388,327
3307,4106,2224,523,129,1376,5434,394
1914,2452,1310,348,57,779,1606,347
2214,2206,1326,246,65,1005,1523,303
2320,2488,1442,197,67,1193,1577,215
2714,2416,1539,306,71,1522,1605,135
3633,2534,1850,279,76,1539,1765,51
3295,2521,1745,280,67,1546,1403,65
4377,3093,2241,358,110,2116,2584,148
4442,3903,2504,431,118,2326,3318,126
2774,2907,1704,448,99,1596,1562,253
2840,3025,1760,433,85,1356,2349,278
2828,3812,1992,504,107,1553,3987,308
3758,4209,2390,579,141,1613,5891,351
1610,2138,1124,384,58,814,1389,362
1968,2419,1316,335,65,1150,1442,319
2248,2622,1461,320,70,1225,1548,225
3262,2912,1852,496,86,1691,1935,176
3164,2708,1762,448,93,1759,1518,141
2972,2798,1731,377,74,1754,1250,137
4041,3254,2188,523,87,2100,1847,60
3402,2895,1889,468,73,2062,1930,116
2898,3263,1848,428,101,2012,2638,227
2555,3736,1887,520,100,1897,3114,280
3056,4077,2140,493,96,1964,4405,316
3717,4097,2344,662,157,2186,7242,297
1755,2175,1179,304,63,966,1853,327
2193,3138,1599,308,115,1549,1779,251
2198,2823,1506,313,70,1538,2108,200
2777,2498,1582,328,66,1612,2336,131
3076,2822,1769,354,67,2078,1728,100
3389,2738,1838,338,83,2137,1661,101
4231,4137,2510,483,79,2907,2230,140
3118,3515,1990,355,77,2249,1645,165
2524,3785,1893,439,102,1883,2421,243
2280,3632,1774,290,116,1739,3740,318
2862,4504,2210,352,100,1828,4988,332
3502,4451,2386,454,135,1868,6757,345
1558,2550,1232,306,71,1138,1757,386
1940,2867,1442,303,60,1430,1394,312
2226,3458,1705,344,89,1809,1982,267
2676,2961,1691,254,74,1763,1650,170
3145,3163,1892,309,73,2200,1654,106
3224,2880,1831,310,91,2067,1406,70
4117,3331,2234,379,86,2503,1971,136
3446,3062,1952,294,74,2141,1968,152
2482,3534,1805,356,87,2103,2608,230
2349,3622,1791,318,87,1972,3845,258
2986,4464,2235,405,109,2181,4514,377
3163,5411,2572,545,137,2344,6694,394
1651,2564,1264,268,43,970,1720,355
1725,2820,1364,243,69,1199,1321,270
2622,3508,1839,273,73,1718,1859,257
2316,3088,1621,273,77,1683,1628,149
2976,3299,1882,236,69,2025,1615,138
3263,2939,1861,222,76,2051,1457,137
3951,3320,2181,302,78,2439,1899,84
2917,3418,1900,285,70,2353,1605,160
2380,3604,1795,309,83,2230,2424,268
2458,3495,1786,322,65,1852,3116,267
2883,4163,2114,362,110,2147,4286,383
2579,4882,2238,471,132,2286,6047,343
1330,2211,1062,198,54,1007,1902,383
1686,3260,1484,253,55,1665,2049,266
2457,2992,1635,173,66,1642,1874,219
2514,2425,1482,186,65,1518,1279,166
2834,2707,1662,185,60,1831,1432,171
2757,3244,1800,105,65,2207,1540,89
3425,3965,2217,228,96,2822,2214,132
3006,3315,1896,214,55,2393,1857,167
2369,3333,1711,189,71,2306,2408,219
2017,3583,1680,270,63,1785,3252,331
2507,4021,1958,277,74,2047,3627,348
3168,4904,2422,378,106,2171,6153,394
1545,2252,1139,185,34,1212,1577,306
1643,2952,1378,182,47,1335,1667,285
2112,3573,1706,258,56,2011,1993,271
2415,3048,1639,179,53,1860,1997,197
2862,3059,1776,197,53,1954,1783,170
2822,2731,1666,168,55,2152,1625,115
3260,3563,2047,250,67,2835,2076,88
2606,3092,1709,211,52,2224,1773,150
2264,3478,1723,260,46,2182,2377,211
2250,3478,1718,234,51,1992,3088,334
2545,4308,2056,305,58,2389,4096,307
2856,5029,2366,347,91,2724,6119,377
1208,2075,985,203,33,891,1494,321
1412,3264,1403,217,40,1247,1564,290
1964,3308,1582,227,46,2017,1898,209
2018,3688,1712,242,45,2257,2121,206
2329,3136,1640,185,41,2255,1831,91
2660,2824,1645,175,55,2255,1515,89
2923,3644,1970,252,57,3057,2048,152
2626,4694,2196,319,54,3330,2795,189
2132,2914,1514,202,46,1896,1749,221
1772,3686,1637,254,52,2096,3339,350
2526,4358,2065,336,48,2374,4227,345
2755,5587,2503,431,77,2535,6410,344
1154,2265,1026,150,30,1041,1197,334
1568,3685,1576,280,35,1728,1968,305
1965,3754,1716,187,42,2201,1720,206
2659,3708,1910,279,48,2455,1725,140
2354,3210,1669,193,44,2204,1674,122
2592,3517,1833,227,45,2660,1693,110
2714,3905,1986,225,45,3670,2031,147
2294,3670,1789,205,46,2665,1495,163
2416,4221,1991,259,46,2639,2968,185
2016,4404,1926,254,51,2226,3385,324
2799,5086,2366,275,63,2586,3729,283
2467,5725,2458,394,84,2684,5999,413
1153,2367,1056,159,30,1185,1070,325
1482,3819,1590,230,39,1749,1402,299
1818,4067,1766,188,45,2459,1897,237
2262,4022,1885,195,52,2618,1862,153
2612,3937,1965,189,28,2585,1670,108
2967,4365,2200,220,40,3310,1688,123
3179,4290,2241,274,62,3923,2031,135
